,Страна,Регион,Численность,Площадь (sq. mi.),Плотность населения (per sq. mi.),Длина побережья к общей площади,Миграция,Детская смертность,ВВП на душу населения,Грамотность(%),Телефонов (на 1000),пахотные земли (%), земель под посевы(%),других земель (%),Рождаемость,Смертность,С/Х в ВВП,Промышленность в ВВП,Услуг в ВВП,Численность в млн,Площадь(кв.км),Плотность населения(на кв.км)
111,Kuwait,Ближний Восток,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,21.94,2.41,0.0,0.48,0.52,0.002418393,46153.799999999996,351.46299999999997
112,Kyrgyzstan,ex-USSR,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,22.8,7.08,0.35,0.21,0.44,0.005213898,514115.0,68.117
113,Laos,Азия,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,35.49,11.55,0.46,0.29,0.26,0.006368481,613312.0,69.67099999999999
114,Latvia,Прибалтика,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,9.24,13.66,0.04,0.26,0.7,0.002274735,167285.50999999998,91.168
115,Lebanon,Ближний Восток,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,18.52,6.21,0.12,0.21,0.67,0.00387405,26936.0,964.775
116,Lesotho,Южная Африка,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,24.75,28.71,0.16,0.44,0.39,0.002022331,78619.45,172.49399999999997
117,Liberia,Южная Африка,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,44.77,23.1,0.77,0.05,0.18,0.003042004,288448.3,70.707
118,Libya,СЕВЕРНАЯ АФРИКА,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,26.49,3.48,0.08,0.5,0.42,0.005900754,4557208.6,8.806
119,Liechtenstein,Западная Европа,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,10.21,7.18,0.06,0.39,0.55,3.3987e-05,414.4,550.116
120,Lithuania,Прибалтика,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,8.75,10.98,0.06,0.32,0.62,0.003585906,168868.0,142.45
121,Luxembourg,Западная Европа,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,11.94,8.41,0.01,0.13,0.86,0.000474413,6697.74,475.265
122,Macau,Азия,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,8.48,4.47,0.0,0.07,0.93,0.000453125,72.52,41913.97
123,Macedonia,ВОСТОЧНАЯ ЕВРОПА,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,,260.0,22.26,1.81,75.93,12.02,8.77,0.12,0.32,0.56,0.002050554,65612.47,209.531
124,Madagascar,Южная Африка,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,41.41,11.11,0.28,0.16,0.56,0.018595469,1520433.5999999999,82.103
125,Malawi,Южная Африка,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,43.13,19.33,0.34,0.16,0.5,0.013013926,306863.2,284.382
126,Malaysia,Азия,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,22.86,5.05,0.08,0.48,0.44,0.024385858,854052.5,191.66
127,Maldives,Азия,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,34.81,7.06,0.2,0.18,0.62,0.000359008,777.0,3099.453
128,Mali,Южная Африка,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,49.82,16.89,0.45,0.17,0.38,0.011716829,3211600.0,24.604999999999997
129,Malta,Западная Европа,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,10.22,8.1,0.03,0.23,0.74,0.000400214,818.4399999999999,3280.2349999999997
130,Marshall Islands,ОКЕАНИЯ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,33.05,4.78,0.32,0.15,0.53,6.0422e-05,30701.859999999997,13.208999999999998
131,Martinique,Латинская Америка,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,13.74,6.48,0.06,0.11,0.83,0.000436131,2849.0,1026.935
132,Mauritania,Южная Африка,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,40.99,12.16,0.25,0.29,0.46,0.003177388,2669513.0,8.029
133,Mauritius,Южная Африка,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,15.43,6.86,0.06,0.3,0.64,0.001240827,5283.599999999999,1575.4969999999998
134,Mayotte,Южная Африка,201234,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,40.95,7.7,,,,0.000201234,968.66,1393.679
135,Mexico,Латинская Америка,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,20.69,4.74,0.04,0.26,0.7,0.107449525,5108904.5,141.155
136,"Micronesia, Fed. St.",ОКЕАНИЯ,108004,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,24.68,4.75,0.29,0.15,0.56,0.000108004,1818.1799999999998,398.601
137,Moldova,ex-USSR,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,15.7,12.64,0.21,0.23,0.56,0.004466706,87653.37,341.88
138,Monaco,Западная Европа,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,9.19,12.91,0.17,,,3.2543e-05,5.18,42143.185
139,Mongolia,Азия,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,21.59,6.95,0.21,0.21,0.58,0.002832224,4051060.44,4.662
140,Montserrat,Латинская Америка,9439,102,92.5,39.22,0.0,7.35,3400.0,97.0,,20.0,0.0,80.0,17.59,7.1,,,,9.439e-06,264.18,239.575
141,Morocco,СЕВЕРНАЯ АФРИКА,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,21.98,5.58,0.22,0.36,0.43,0.033241259,1156564.5,192.696
142,Mozambique,Южная Африка,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,35.18,21.35,0.26,0.35,0.39,0.019686505,2076118.0999999999,63.714
143,Namibia,Южная Африка,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,24.32,18.86,0.1,0.32,0.59,0.002044147,2137832.62,6.475
144,Nauru,ОКЕАНИЯ,13287,21,632.7,142.86,0.0,9.95,5000.0,,143.0,0.0,0.0,100.0,24.76,6.7,,,,1.3287e-05,54.39,1638.693
145,Nepal,Азия,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,30.98,9.31,0.38,0.21,0.41,0.028287147,381198.79,497.79799999999994
146,Netherlands,Западная Европа,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,10.9,8.68,0.02,0.24,0.74,0.016491461,107552.34,1028.489
147,Netherlands Antilles,Латинская Америка,221736,960,231.0,37.92,-0.41,10.03,11400.0,96.7,365.3,10.0,0.0,90.0,14.78,6.45,0.01,0.15,0.84,0.000221736,2486.3999999999996,598.29
148,New Caledonia,ОКЕАНИЯ,219246,19060,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,18.11,5.69,0.15,0.09,0.76,0.000219246,49365.399999999994,29.784999999999997
149,New Zealand,ОКЕАНИЯ,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,13.76,7.53,0.04,0.27,0.68,0.00407614,695881.2,39.367999999999995
150,Nicaragua,Латинская Америка,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,24.51,4.45,0.16,0.28,0.56,0.005570129,335389.45999999996,111.36999999999999
151,Niger,Южная Африка,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,50.73,20.91,0.39,0.17,0.44,0.012525094,3281530.0,25.641
152,Nigeria,Южная Африка,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,40.43,16.94,0.27,0.49,0.24,0.131859731,2392559.1199999996,369.59299999999996
153,N. Mariana Islands,ОКЕАНИЯ,82459,477,172.9,310.69,9.61,7.11,12500.0,97.0,254.7,13.04,4.35,82.61,19.43,2.29,,,,8.2459e-05,1235.4299999999998,447.811
154,Norway,Западная Европа,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,11.46,9.4,0.02,0.42,0.56,0.00461082,838647.1799999999,36.778
155,Oman,Ближний Восток,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,36.24,3.81,0.03,0.39,0.58,0.003102229,550271.4,37.814
156,Pakistan,Азия,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,29.74,8.23,0.22,0.25,0.53,0.16580356,2082204.5999999999,534.058
157,Palau,ОКЕАНИЯ,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,18.03,6.8,0.06,0.12,0.82,2.0579e-05,1186.22,116.291
158,Panama,Латинская Америка,3191319,78200,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,21.74,5.36,0.07,0.16,0.78,0.003191319,202538.0,105.67199999999998
159,Papua New Guinea,ОКЕАНИЯ,5670544,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,29.36,7.25,0.35,0.38,0.27,0.005670544,1198755.5999999999,31.857
160,Paraguay,Латинская Америка,6506464,406750,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,29.1,4.49,0.22,0.21,0.57,0.006506464,1053482.5,41.44
161,Peru,Латинская Америка,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,20.48,6.23,0.08,0.27,0.65,0.028302603,3328719.8,56.98
162,Philippines,Азия,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,24.89,5.41,0.14,0.33,0.53,0.089468677,777000.0,772.338
163,Poland,ВОСТОЧНАЯ ЕВРОПА,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,9.85,9.89,0.05,0.31,0.64,0.038536869,809854.1499999999,319.347
164,Portugal,Западная Европа,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,10.72,10.5,0.05,0.27,0.67,0.01060587,239292.68999999997,297.332
165,Puerto Rico,Латинская Америка,3927188,13790,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.52,90.53,12.77,7.65,0.01,0.45,0.54,0.003927188,35716.1,737.632
166,Qatar,Ближний Восток,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,15.56,4.72,0.0,0.8,0.2,0.000885359,29621.829999999998,200.466
167,Reunion,Южная Африка,787584,2517,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,18.9,5.49,0.08,0.19,0.73,0.000787584,6519.03,810.411
168,Romania,ВОСТОЧНАЯ ЕВРОПА,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,10.7,11.77,0.1,0.35,0.55,0.022303552,615125.0,243.201
169,Russia,ex-USSR,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,9.95,14.65,0.05,0.37,0.57,0.14289354,44224768.0,21.756
170,Rwanda,Южная Африка,8648248,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,40.37,16.09,0.4,0.23,0.37,0.008648248,68215.42,850.5559999999999
171,Saint Helena,Южная Африка,7502,413,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.9,0.0,87.1,12.13,6.53,,,,7.502e-06,1069.6699999999998,47.138
172,Saint Kitts & Nevis,Латинская Америка,39129,261,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,19.44,2.78,77.78,18.02,8.33,0.04,0.26,0.71,3.9129e-05,675.99,388.241
173,Saint Lucia,Латинская Америка,168458,616,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.56,22.95,70.49,19.68,5.08,0.07,0.2,0.73,0.000168458,1595.4399999999998,708.365
174,St Pierre & Miquelon,Северная Америка,7026,242,29.0,49.59,-4.86,7.54,6900.0,99.0,683.2,13.04,0.0,86.96,13.52,6.83,,,,7.026e-06,626.78,75.11
175,Saint Vincent and the Grenadines,Латинская Америка,117848,389,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,16.18,5.98,0.1,0.26,0.64,0.000117848,1007.51,784.77
176,Samoa,ОКЕАНИЯ,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,16.43,6.62,0.11,0.58,0.3,0.000176908,7624.959999999999,155.659
177,San Marino,Западная Европа,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,10.02,8.17,,,,2.9251e-05,157.98999999999998,1241.905
178,Sao Tome & Principe,Южная Африка,193413,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,40.25,6.47,0.17,0.15,0.68,0.000193413,2592.5899999999997,500.3879999999999
179,Saudi Arabia,Ближний Восток,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,29.34,2.58,0.03,0.61,0.35,0.027019731,5077907.38,35.742
180,Senegal,Южная Африка,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,32.78,9.42,0.17,0.21,0.62,0.011987121,508132.1,158.249
181,Serbia,ВОСТОЧНАЯ ЕВРОПА,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,,,0.17,0.26,0.58,0.009396411,228854.99,275.31699999999995
182,Seychelles,Южная Африка,81541,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,16.03,6.29,0.03,0.3,0.66,8.1541e-05,1178.45,464.12799999999993
183,Sierra Leone,Южная Африка,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,45.76,23.03,0.49,0.31,0.21,0.00600525,185806.59999999998,216.783
184,Singapore,Азия,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,9.34,4.28,0.0,0.34,0.66,0.00449215,1794.87,16788.897999999997
185,Slovakia,ВОСТОЧНАЯ ЕВРОПА,5439448,48845,111.4,0.0,0.3,7.41,13300.0,,220.1,30.16,2.62,67.22,10.65,9.45,0.04,0.29,0.67,0.005439448,126508.54999999999,288.526
186,Slovenia,ВОСТОЧНАЯ ЕВРОПА,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,8.98,10.31,0.03,0.37,0.6,0.002010347,52507.07,256.928
187,Solomon Islands,ОКЕАНИЯ,552438,28450,19.4,18.67,0.0,21.29,1700.0,,13.4,0.64,2.0,97.36,30.01,3.92,0.42,0.11,0.47,0.000552438,73685.5,50.245999999999995
188,Somalia,Южная Африка,8863338,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,45.13,16.63,0.65,0.1,0.25,0.008863338,1651531.63,36.001
189,South Africa,Южная Африка,44187637,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,18.2,22.0,0.02,0.3,0.67,0.044187637,3159572.0799999996,93.758
190,Spain,Западная Европа,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,10.06,9.72,0.04,0.3,0.66,0.040397842,1307385.38,207.2
191,Sri Lanka,Азия,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,15.51,6.52,0.18,0.28,0.55,0.02022224,169929.9,798.2379999999999
192,Sudan,Южная Африка,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,34.53,8.97,0.39,0.2,0.41,0.041236378,6490047.899999999,42.735
193,Suriname,Латинская Америка,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,18.02,7.27,0.13,0.22,0.65,0.000439117,422869.3,6.993
194,Swaziland,Южная Африка,1136334,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,27.41,29.74,0.12,0.52,0.37,0.001136334,44970.17,169.64499999999998
195,Sweden,Западная Европа,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,10.27,10.31,0.01,0.28,0.71,0.009016596,1165406.76,51.8
196,Switzerland,Западная Европа,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,9.71,8.49,0.02,0.34,0.64,0.007523934,106941.09999999999,471.89799999999997
197,Syria,Ближний Восток,18881361,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,27.76,4.81,0.25,0.23,0.52,0.018881361,479616.19999999995,264.18
198,Taiwan,Азия,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,12.56,6.48,0.02,0.26,0.72,0.023036087,93188.2,1658.3769999999997
199,Tajikistan,ex-USSR,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,32.65,8.25,0.23,0.29,0.48,0.007320815,370629.0,132.608
200,Tanzania,Южная Африка,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,37.71,16.39,0.43,0.17,0.4,0.037445392,2447775.33,102.564
201,Thailand,Азия,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,13.87,7.04,0.1,0.44,0.46,0.064631595,1331260.0,325.563
202,Togo,Южная Африка,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,37.01,9.83,0.4,0.2,0.4,0.005548702,147073.15,253.043
203,Tonga,ОКЕАНИЯ,114689,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,25.37,5.28,0.23,0.27,0.5,0.000114689,1937.32,397.047
204,Trinidad & Tobago,Латинская Америка,1065842,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,12.9,10.57,0.01,0.57,0.42,0.001065842,13281.519999999999,538.461
205,Tunisia,СЕВЕРНАЯ АФРИКА,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,15.52,5.13,0.13,0.32,0.55,0.010175014,423749.89999999997,161.09799999999998
206,Turkey,Ближний Восток,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,16.62,5.97,0.12,0.3,0.58,0.070413958,2021702.2,233.618
207,Turkmenistan,ex-USSR,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,27.61,8.6,0.21,0.38,0.41,0.00504292,1264179.0,26.677
208,Turks & Caicos Is,Латинская Америка,21152,430,49.2,90.47,11.68,15.67,9600.0,98.0,269.5,2.33,0.0,97.67,21.84,4.21,,,,2.1152e-05,1113.7,127.428
209,Tuvalu,ОКЕАНИЯ,11810,26,454.2,92.31,0.0,20.03,1100.0,,59.3,0.0,0.0,100.0,22.18,7.11,0.17,0.27,0.56,1.181e-05,67.34,1176.378
210,Uganda,Южная Африка,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,47.35,12.24,0.31,0.22,0.47,0.028195754,611343.6,309.505
211,Ukraine,ex-USSR,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,8.82,14.39,0.19,0.45,0.36,0.046710816,1563583.0,200.466
212,United Arab Emirates,Ближний Восток,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,18.96,4.4,0.04,0.58,0.38,0.002602713,214659.19999999998,81.326
213,United Kingdom,Западная Европа,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,10.71,10.13,0.0,0.24,0.76,0.060609153,634083.7999999999,641.284
214,United States,Северная Америка,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,14.14,8.26,0.01,0.2,0.79,0.298444215,24945377.799999997,80.28999999999999
215,Uruguay,Латинская Америка,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,13.91,9.05,0.09,0.31,0.6,0.003431932,456409.8,50.504999999999995
216,Uzbekistan,ex-USSR,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,26.36,7.84,0.34,0.23,0.43,0.027307134,1158766.0,157.98999999999998
217,Vanuatu,ОКЕАНИЯ,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,22.72,7.82,0.26,0.12,0.62,0.000208869,31598.0,44.289
218,Venezuela,Латинская Америка,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,18.71,4.92,0.04,0.42,0.54,0.025730435,2362209.5,73.038
219,Vietnam,Азия,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,16.86,6.22,0.21,0.41,0.38,0.084402966,853560.3999999999,663.299
220,Virgin Islands,Латинская Америка,108605,1910,56.9,9.84,-8.94,8.03,17200.0,,652.8,11.76,2.94,85.3,13.96,6.43,0.01,0.19,0.8,0.000108605,4946.9,147.37099999999998
221,Wallis and Futuna,ОКЕАНИЯ,16025,274,58.5,47.08,,,3700.0,50.0,118.6,5.0,25.0,70.0,,,,,,1.6025e-05,709.66,151.515
222,West Bank,Ближний Восток,2460492,5860,419.9,0.0,2.98,19.62,800.0,,145.2,16.9,18.97,64.13,31.67,3.92,0.09,0.28,0.63,0.002460492,15177.4,1087.541
223,Western Sahara,СЕВЕРНАЯ АФРИКА,273008,266000,1.0,0.42,,,,,,0.02,0.0,99.98,,,,,0.4,0.000273008,688940.0,2.59
224,Yemen,Ближний Восток,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,42.89,8.3,0.14,0.47,0.39,0.021456188,1367442.2999999998,105.154
225,Zambia,Южная Африка,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,41.0,19.93,0.22,0.29,0.49,0.01150201,1949270.26,39.627
226,Zimbabwe,Южная Африка,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,28.01,21.84,0.18,0.24,0.58,0.012236805,1011602.2,81.067
